1673459509, 0B200081, 15001, 3
1673459509, 0B200081, 1101, 3
1673459509, 0B200080, 13501, 3
1673459509, 0B200080, 4801, 3
1673459509, 0B200082, 10, 1
1673459509, 0B200087, 200, 2
1673459510, 0B200081, 15001, 3
1673459510, 0B200081, 1101, 3
1673459510, 0B200080, 13501, 3
1673459510, 0B200080, 4a01, 3
1673459510, 0B200082, 10, 1
1673459510, 0B200087, 200, 2
1673459511, 0B200081, 15001, 3
1673459511, 0B200081, 1101, 3
1673459511, 0B200080, 13501, 3
1673459511, 0B200080, 4501, 3
1673459511, 0B200082, 10, 1
1673459511, 0B200087, 200, 2
1673459512, 0B200081, 15001, 3
1673459512, 0B200081, 1101, 3
1673459512, 0B200080, 13301, 3
1673459512, 0B200080, 4801, 3
1673459512, 0B200082, 10, 1
1673459512, 0B200087, 200, 2
1673459513, 0B200081, 15001, 3
1673459513, 0B200081, 1101, 3
1673459513, 0B200080, 13701, 3
1673459513, 0B200080, 4601, 3
1673459513, 0B200082, 10, 1
1673459513, 0B200087, 200, 2
1673459514, 0B200081, 15001, 3
1673459514, 0B200081, 1101, 3
1673459514, 0B200080, 13501, 3
1673459514, 0B200080, 4701, 3
1673459514, 0B200082, 10, 1
1673459514, 0B200087, 200, 2
1673459515, 0B200081, 15001, 3
1673459515, 0B200081, 1101, 3
1673459515, 0B200080, 13601, 3
1673459515, 0B200080, 4901, 3
1673459515, 0B200082, 10, 1
1673459515, 0B200087, 200, 2
1673459516, 0B200081, 15001, 3
1673459516, 0B200081, 1101, 3
1673459516, 0B200080, 13601, 3
1673459516, 0B200080, 4801, 3
1673459516, 0B200082, 10, 1
1673459516, 0B200087, 200, 2
1673459517, 0B200081, 15001, 3
1673459517, 0B200081, 1101, 3
1673459517, 0B200080, 13601, 3
1673459517, 0B200080, 4a01, 3
1673459517, 0B200082, 10, 1
1673459517, 0B200087, 200, 2
1673459518, 0B200081, 15001, 3
1673459518, 0B200081, 1101, 3
1673459518, 0B200080, 13501, 3
1673459518, 0B200080, 4801, 3
1673459518, 0B200082, 10, 1
1673459518, 0B200087, 200, 2
1673459519, 0B200081, 15001, 3
1673459519, 0B200081, 1101, 3
1673459519, 0B200080, 13501, 3
1673459519, 0B200080, 4701, 3
1673459519, 0B200082, 10, 1
1673459519, 0B200087, 200, 2
1673459520, 0B200081, 15001, 3
1673459520, 0B200081, 1101, 3
1673459520, 0B200080, 13501, 3
1673459520, 0B200080, 4701, 3
1673459520, 0B200082, 10, 1
1673459520, 0B200087, 200, 2
1673459521, 0B200081, 15001, 3
1673459521, 0B200081, 1101, 3
1673459521, 0B200080, 13601, 3
1673459521, 0B200080, 4801, 3
1673459521, 0B200082, 10, 1
1673459521, 0B200087, 200, 2
1673459522, 0B200081, 15001, 3
1673459522, 0B200081, 1101, 3
1673459522, 0B200080, 13601, 3
1673459522, 0B200080, 4601, 3
1673459522, 0B200082, 10, 1
1673459522, 0B200087, 200, 2
1673459523, 0B200081, 15001, 3
1673459523, 0B200081, 1101, 3
1673459523, 0B200080, 13501, 3
1673459523, 0B200080, 4701, 3
1673459523, 0B200082, 10, 1
1673459523, 0B200087, 200, 2
1673459523, 0A20FF00, 0, 0
1673459523, 0A41FF00, 0, 0
